Czas [ms];Fluorescencja [j.f];Ciśnienie [mmHg]
446600;1977177,00;0,40
446640;1976286,00;0,33
446680;1976424,00;0,40
446720;1977397,00;0,27
446760;1975482,00;0,33
446800;1976678,00;0,37
446840;1974926,00;0,53
446880;1975081,00;0,37
446920;1975670,00;0,33
446960;1974621,00;0,27
447000;1974792,00;0,17
447040;1975547,00;0,07
447080;1975110,00;0,13
447120;1974437,00;0,33
447160;1975745,00;0,37
447200;1975607,00;0,27
447240;1975239,00;0,30
447280;1975468,00;0,40
447320;1975644,00;0,50
447360;1975985,00;0,37
447400;1974157,00;0,40
447440;1974144,00;0,30
447480;1973658,00;0,27
447520;1974406,00;0,10
447560;1973385,00;0,07
447600;1973603,00;0,07
447640;1972590,00;0,07
447680;1972970,00;0,07
447720;1972081,00;0,17
447760;1972893,00;0,23
447800;1972809,00;0,30
447840;1972529,00;0,20
447880;1972933,00;0,13
447920;1972455,00;0,07
447960;1973854,00;0,17
448000;1973139,00;0,27
448040;1973367,00;0,37
448080;1972388,00;0,33
448120;1973794,00;0,20
448160;1972422,00;0,07
448200;1972429,00;0,10
448240;1972287,00;0,20
448280;1971377,00;0,40
448320;1971488,00;0,40
448360;1970277,00;0,40
448400;1970264,00;0,37
448440;1970243,00;0,37
448480;1969667,00;0,20
448520;1969773,00;-0,03
448560;1969569,00;-0,03
448600;1968757,00;0,23
448640;1968784,00;0,47
448680;1968502,00;0,43
448720;1967763,00;0,43
448760;1970555,00;0,43
448800;1969511,00;0,43
448840;1968923,00;0,30
448880;1969273,00;0,27
448920;1969196,00;0,37
448960;1969339,00;0,47
449000;1968908,00;0,47
449040;1968128,00;0,43
449080;1967430,00;0,40
449120;1968368,00;0,33
449160;1967297,00;0,27
449200;1967564,00;0,20
449240;1968040,00;0,23
449280;1967126,00;0,10
449320;1967249,00;-0,03
449360;1968441,00;-0,03
449400;1967426,00;0,23
449440;1967064,00;0,50
449480;1967559,00;0,47
449520;1968202,00;0,37
449560;1967571,00;0,27
449600;1968606,00;0,37
449640;1969821,00;0,40
449680;1968326,00;0,43
449720;1967567,00;0,33
449760;1966964,00;0,30
449800;1967510,00;0,20
449840;1967806,00;0,30
449880;1965637,00;0,27
449920;1966034,00;0,23
449960;1965493,00;0,07
450000;1965734,00;0,03
450040;1965293,00;0,17
450080;1965467,00;0,37
450120;1964876,00;0,43
450160;1965035,00;0,30
450200;1966610,00;0,20
450240;1965632,00;0,17
450280;1965553,00;0,30
450320;1966576,00;0,33
450360;1967353,00;0,33
450400;1965133,00;0,27
450440;1966170,00;0,30
450480;1964845,00;0,40
450520;1965928,00;0,40
450560;1965528,00;0,30
450600;1964282,00;0,17
450640;1963267,00;0,23
450680;1964438,00;0,30
450720;1963652,00;0,30
450760;1962598,00;0,30
450800;1963323,00;0,30
450840;1962972,00;0,40
450880;1963654,00;0,37
450920;1963730,00;0,37
450960;1963787,00;0,37
451000;1964824,00;0,43
451040;1965069,00;0,30
451080;1963948,00;0,17
451120;1965451,00;0,20
451160;1964627,00;0,40
451200;1964795,00;0,57
451240;1965512,00;0,57
451280;1965182,00;0,30
451320;1963364,00;0,17
451360;1963154,00;-0,10
451400;1962357,00;-0,10
451440;1963401,00;-0,13
451480;1963378,00;0,13
451520;1963007,00;0,37
451560;1963505,00;0,53
451600;1963396,00;0,50
451640;1963181,00;0,23
451680;1963724,00;-0,03
451720;1962450,00;-0,17
451760;1964834,00;0,10
451800;1963693,00;0,37
451840;1963838,00;0,50
451880;1965261,00;0,37
451920;1964979,00;0,23
451960;1964964,00;0,10
452000;1964796,00;0,23
452040;1964011,00;0,37
452080;1964023,00;0,43
452120;1964536,00;0,40
452160;1964012,00;0,27
452200;1964466,00;0,20
452240;1962051,00;0,17
452280;1963084,00;0,30
452320;1963688,00;0,30
452360;1962146,00;0,23
452400;1963088,00;0,07
452440;1963745,00;0,07
452480;1963252,00;0,17
452520;1963407,00;0,30
452560;1963390,00;0,37
452600;1963124,00;0,33
452640;1964329,00;0,37
452680;1964268,00;0,43
452720;1963931,00;0,50
452760;1964052,00;0,47
452800;1964060,00;0,30
452840;1962499,00;0,13
452880;1963613,00;0,20
452920;1962397,00;0,33
452960;1961749,00;0,47
453000;1962318,00;0,37
453040;1962771,00;0,33
453080;1961760,00;0,37
453120;1962935,00;0,30
453160;1962638,00;0,23
453200;1963460,00;0,30
453240;1963891,00;0,43
453280;1963979,00;0,57
453320;1964348,00;0,27
453360;1964152,00;0,30
453400;1964276,00;0,33
453440;1965225,00;0,57
453480;1965101,00;0,40
453520;1964084,00;0,23
453560;1964306,00;0,10
453600;1965029,00;0,10
453640;1964000,00;0,10
453680;1964006,00;0,17
453720;1964191,00;0,20
453760;1964888,00;0,23
453800;1963693,00;0,13
453840;1962852,00;0,07
453880;1964773,00;0,03
453920;1964164,00;0,23
453960;1964755,00;0,30
454000;1963800,00;0,37
454040;1966112,00;0,10
454080;1965846,00;0,10
454120;1965573,00;0,07
454160;1966253,00;0,27
454200;1966374,00;0,33
454240;1966284,00;0,40
454280;1966060,00;0,40
454320;1965437,00;0,40
454360;1966387,00;0,37
454400;1964817,00;0,33
454440;1965734,00;0,40
454480;1965543,00;0,50
454520;1964863,00;0,47
454560;1965318,00;0,33
454600;1966186,00;0,17
454640;1965519,00;0,30
454680;1965809,00;0,43
454720;1965595,00;0,50
454760;1965764,00;0,40
454800;1965917,00;0,20
454840;1965496,00;0,10
454880;1966851,00;0,10
454920;1967043,00;0,20
454960;1966596,00;0,30
455000;1967953,00;0,23
455040;1966660,00;0,27
455080;1967139,00;0,30
455120;1967550,00;0,20
455160;1966461,00;0,17
455200;1966719,00;0,13
455240;1966578,00;0,37
455280;1965832,00;0,40
455320;1965777,00;0,37
455360;1966484,00;0,27
455400;1965508,00;0,20
455440;1966464,00;0,27
455480;1967914,00;0,30
455520;1967483,00;0,33
455560;1967833,00;0,27
455600;1967949,00;0,20
455640;1967915,00;0,27
455680;1968405,00;0,27
455720;1968171,00;0,30
455760;1969240,00;0,30
455800;1969878,00;0,33
455840;1969316,00;0,30
455880;1970193,00;0,17
455920;1969536,00;0,10
455960;1968776,00;0,07
456000;1969732,00;0,03
456040;1969951,00;0,00
456080;1969179,00;0,10
456120;1969469,00;0,20
456160;1969197,00;0,33
456200;1969968,00;0,30
456240;1970335,00;0,27
456280;1970598,00;0,23
456320;1970131,00;0,30
456360;1970413,00;0,37
456400;1972219,00;0,37
456440;1971934,00;0,33
456480;1972263,00;0,30
456520;1973064,00;0,37
456560;1971410,00;0,40
456600;1971840,00;0,37
456640;1973175,00;0,13
456680;1972277,00;0,00
456720;1972423,00;0,07
456760;1972625,00;0,23
456800;1971302,00;0,33
456840;1972287,00;0,27
456880;1972083,00;0,17
456920;1971832,00;0,07
456960;1971776,00;0,13
457000;1972157,00;0,27
457040;1971521,00;0,40
457080;1972802,00;0,27
457120;1972972,00;0,27
457160;1973876,00;0,13
457200;1973621,00;0,17
457240;1974434,00;0,07
457280;1972436,00;0,13
457320;1973965,00;0,27
457360;1972996,00;0,40
457400;1973168,00;0,50
457440;1972234,00;0,47
457480;1973210,00;0,43
457520;1973628,00;0,40
457560;1972860,00;0,43
457600;1973174,00;0,47
457640;1973100,00;0,50
457680;1972848,00;0,27
457720;1973613,00;0,10
457760;1972938,00;-0,07
457800;1974234,00;0,00
457840;1974523,00;0,13
457880;1974516,00;0,27
457920;1974614,00;0,33
457960;1974793,00;0,27
458000;1975534,00;0,33
458040;1975150,00;0,30
458080;1974900,00;0,33
458120;1975279,00;0,27
458160;1975475,00;0,37
458200;1975049,00;0,47
458240;1974788,00;0,37
458280;1976215,00;0,30
458320;1976330,00;0,17
458360;1975697,00;0,27
458400;1976781,00;0,30
458440;1975853,00;0,33
458480;1976030,00;0,37
458520;1976528,00;0,27
458560;1977326,00;0,17
458600;1976407,00;0,00
458640;1977115,00;0,07
458680;1978060,00;0,17
458720;1978697,00;0,27
458760;1977999,00;0,30
458800;1977849,00;0,30
458840;1979532,00;0,40
458880;1978612,00;0,50
458920;1977665,00;0,60
458960;1978011,00;0,40
459000;1977923,00;0,20
459040;1978102,00;0,13
459080;1977923,00;0,20
459120;1977348,00;0,33
459160;1977108,00;0,30
459200;1977187,00;0,17
459240;1977857,00;0,13
459280;1977646,00;0,20
459320;1978314,00;0,47
459360;1977739,00;0,30
459400;1978065,00;0,07
459440;1979006,00;-0,10
459480;1978887,00;0,17
459520;1978487,00;0,43
459560;1978991,00;0,50
459600;1978248,00;0,47
459640;1978373,00;0,20
459680;1977267,00;0,03
459720;1977654,00;-0,07
459760;1979112,00;0,07
459800;1978685,00;0,17
459840;1977228,00;0,20
459880;1978016,00;0,30
459920;1979339,00;0,30
459960;1977185,00;0,27
460000;1978335,00;0,17
460040;1978365,00;0,20
460080;1978635,00;0,13
460120;1979410,00;0,23
460160;1979315,00;0,27
460200;1980019,00;0,37
460240;1981027,00;0,20
460280;1980263,00;0,17
460320;1979953,00;0,13
460360;1980016,00;0,20
460400;1980885,00;0,23
460440;1979786,00;0,27
460480;1979534,00;0,27
460520;1979522,00;0,20
460560;1980138,00;0,30
460600;1980105,00;0,43
460640;1980631,00;0,60
460680;1980251,00;0,60
460720;1979512,00;0,40
460760;1980546,00;0,20
460800;1980706,00;0,00
460840;1980111,00;0,20
460880;1981360,00;0,30
460920;1980409,00;0,40
460960;1981956,00;0,23
461000;1981369,00;0,33
461040;1982064,00;0,43
461080;1982042,00;0,53
461120;1982503,00;0,47
461160;1981972,00;0,27
461200;1981885,00;0,30
461240;1981977,00;0,33
461280;1981636,00;0,50
461320;1981990,00;0,33
461360;1981024,00;0,17
461400;1982469,00;0,20
461440;1981943,00;0,40
461480;1980576,00;0,60
461520;1982343,00;0,50
461560;1982904,00;0,37
461600;1982253,00;0,10
461640;1981790,00;0,00
461680;1981679,00;-0,07
461720;1982898,00;0,10
461760;1983141,00;0,23
461800;1983087,00;0,37
461840;1984672,00;0,47
461880;1983008,00;0,50
461920;1983911,00;0,43
461960;1982450,00;0,30
462000;1982484,00;0,20
462040;1984059,00;0,17
462080;1983168,00;0,23
462120;1982017,00;0,37
462160;1982960,00;0,50
462200;1982346,00;0,53
462240;1983582,00;0,37
462280;1983150,00;0,30
462320;1983635,00;0,23
462360;1983526,00;0,27
462400;1984091,00;0,10
462440;1983452,00;-0,07
462480;1983885,00;0,00
462520;1983893,00;0,27
462560;1984008,00;0,53
462600;1983177,00;0,43
462640;1984888,00;0,27
462680;1983945,00;0,20
462720;1983427,00;0,37
462760;1983412,00;0,53
462800;1983502,00;0,40
462840;1983879,00;0,27
462880;1982056,00;0,13
462920;1982428,00;0,07
462960;1983233,00;0,20
463000;1983382,00;0,30
463040;1982625,00;0,53
463080;1983675,00;0,43
463120;1983785,00;0,30
463160;1982681,00;0,23
463200;1982603,00;0,23
463240;1982310,00;0,33
463280;1984274,00;0,37
463320;1984232,00;0,30
463360;1983410,00;0,20
463400;1982603,00;0,13
463440;1983512,00;0,20
463480;1983191,00;0,27
463520;1983505,00;0,13
463560;1983684,00;0,07
463600;1982786,00;0,17
463640;1981857,00;0,23
463680;1984410,00;0,20
463720;1983529,00;0,00
463760;1984300,00;0,17
463800;1983076,00;0,30
463840;1982760,00;0,43
463880;1983213,00;0,47
463920;1983318,00;0,40
463960;1983495,00;0,33
464000;1985066,00;0,23
464040;1985891,00;0,17
464080;1984468,00;0,10
464120;1985093,00;0,17
464160;1984050,00;0,37
464200;1984020,00;0,40
464240;1984728,00;0,30
464280;1984674,00;0,03
464320;1983653,00;0,00
464360;1983224,00;0,00
464400;1984293,00;0,07
464440;1983592,00;0,23
464480;1984621,00;0,23
464520;1985155,00;0,37
464560;1985369,00;0,30
464600;1984790,00;0,30
464640;1984887,00;0,10
464680;1985225,00;0,00
464720;1984469,00;0,00
464760;1985745,00;0,27
464800;1985456,00;0,47
464840;1984599,00;0,40
464880;1984935,00;0,20
464920;1984625,00;0,00
464960;1985433,00;0,00
465000;1984613,00;0,20
465040;1984212,00;0,40
465080;1984930,00;0,47
465120;1983882,00;0,33
465160;1984327,00;0,27
465200;1984629,00;0,20
465240;1984175,00;0,13
465280;1983623,00;0,17
465320;1984404,00;0,30
465360;1983938,00;0,43
465400;1984292,00;0,27
465440;1984758,00;0,23
465480;1983794,00;0,20
465520;1984885,00;0,30
465560;1984431,00;0,33
465600;1984553,00;0,37
465640;1984499,00;0,33
465680;1984122,00;0,30
465720;1984229,00;0,23
465760;1984207,00;0,10
465800;1983741,00;-0,07
465840;1983761,00;-0,07
465880;1983819,00;0,00
465920;1984789,00;0,07
465960;1984633,00;0,03
466000;1985367,00;0,23
466040;1984702,00;0,37
466080;1985220,00;0,33
466120;1986081,00;0,13
466160;1984800,00;0,07
466200;1984812,00;0,20
466240;1984896,00;0,33
466280;1985143,00;0,33
466320;1986234,00;0,27
466360;1986918,00;0,13
466400;1984745,00;0,13
466440;1986201,00;0,13
466480;1985279,00;0,23
466520;1984879,00;0,33
466560;1985467,00;0,37
466600;1984689,00;0,37
466640;1984898,00;0,37
466680;1984198,00;0,27
466720;1986270,00;0,20
466760;1985047,00;0,07
466800;1985075,00;0,27
466840;1985632,00;0,40
466880;1985192,00;0,53
466920;1985485,00;0,40
466960;1985668,00;0,30
467000;1986507,00;0,20
467040;1987449,00;0,20
467080;1985167,00;0,20
467120;1986119,00;0,20
467160;1986866,00;0,23
467200;1985594,00;0,23
467240;1984839,00;0,23
467280;1985481,00;0,07
467320;1984934,00;0,07
467360;1984160,00;0,07
467400;1983918,00;0,33
467440;1984456,00;0,40
467480;1984716,00;0,47
467520;1983982,00;0,33
467560;1984970,00;0,27
467600;1984869,00;0,20
467640;1984693,00;0,20
467680;1984896,00;0,07
467720;1985434,00;0,17
467760;1985445,00;0,13
467800;1986425,00;0,33
467840;1985434,00;0,10
467880;1986088,00;0,27
467920;1985601,00;0,33
467960;1985341,00;0,53
468000;1985599,00;0,50
468040;1985595,00;0,40
468080;1985234,00;0,37
468120;1985481,00;0,20
468160;1986248,00;0,10
468200;1985130,00;0,07
468240;1985532,00;0,10
468280;1984782,00;0,13
468320;1985240,00;0,10
468360;1985510,00;0,20
468400;1985782,00;0,30
468440;1986733,00;0,40
468480;1986396,00;0,37
468520;1987172,00;0,33
468560;1986431,00;0,20
468600;1987741,00;0,10
468640;1985654,00;0,07
468680;1987023,00;0,17
468720;1986029,00;0,33
468760;1985400,00;0,43
468800;1985907,00;0,33
468840;1986095,00;0,17
468880;1986066,00;0,03
468920;1985538,00;0,10
468960;1986255,00;0,27
469000;1986717,00;0,40
469040;1987100,00;0,47
469080;1987549,00;0,43
469120;1987178,00;0,40
469160;1987501,00;0,37
469200;1987033,00;0,27
469240;1987175,00;0,17
469280;1987266,00;0,10
469320;1988706,00;0,20
469360;1987031,00;0,17
469400;1988555,00;0,20
469440;1986771,00;0,00
469480;1987599,00;-0,07
469520;1987519,00;-0,07
469560;1986608,00;0,03
469600;1986084,00;0,17
469640;1987903,00;0,30
469680;1985771,00;0,47
469720;1987042,00;0,50
469760;1986523,00;0,50
469800;1986261,00;0,50
469840;1987191,00;0,60
469880;1986383,00;0,53
469920;1985491,00;0,37
469960;1987715,00;0,33
470000;1987230,00;0,27
470040;1987415,00;0,30
470080;1987562,00;0,13
470120;1986661,00;0,00
470160;1987225,00;0,03
470200;1987273,00;0,13
470240;1987247,00;0,30
470280;1986705,00;0,30
470320;1987267,00;0,40
470360;1987157,00;0,50
470400;1987438,00;0,50
470440;1988071,00;0,40
470480;1987531,00;0,20
470520;1986567,00;0,10
470560;1987497,00;-0,07
470600;1987346,00;-0,07
470640;1987497,00;-0,07
470680;1987821,00;0,10
470720;1988651,00;0,20
470760;1988507,00;0,37
470800;1988485,00;0,40
470840;1989332,00;0,37
470880;1989337,00;0,30
470920;1988696,00;0,20
470960;1988882,00;0,27
471000;1988884,00;0,33
471040;1988372,00;0,40
471080;1989415,00;0,40
471120;1988523,00;0,37
471160;1988176,00;0,33
471200;1988560,00;0,23
471240;1988285,00;0,33
471280;1988991,00;0,37
471320;1988361,00;0,43
471360;1988030,00;0,27
471400;1988469,00;0,23
471440;1987769,00;0,20
471480;1990241,00;0,17
471520;1989032,00;0,17
471560;1988326,00;0,17
471600;1990307,00;0,30
471640;1989775,00;0,40
471680;1989634,00;0,50
471720;1989733,00;0,50
471760;1990103,00;0,53
471800;1988728,00;0,57
471840;1988774,00;0,60
471880;1988513,00;0,63
471920;1988292,00;0,67
471960;1988634,00;0,53
472000;1988533,00;0,47
472040;1987270,00;0,40
472080;1987985,00;0,33
472120;1989152,00;0,30
472160;1987897,00;0,27
472200;1988674,00;0,33
472240;1988147,00;0,13
472280;1988554,00;-0,07
472320;1988402,00;-0,03
472360;1988024,00;0,10
472400;1989521,00;0,23
472440;1989755,00;0,20
472480;1988716,00;0,33
472520;1988374,00;0,27
472560;1989585,00;0,30
472600;1988267,00;0,20
472640;1987950,00;0,37
472680;1988587,00;0,33
472720;1988481,00;0,30
472760;1987762,00;0,17
472800;1988787,00;0,10
472840;1988370,00;0,07
472880;1988646,00;0,03
472920;1988866,00;0,13
472960;1988825,00;0,20
473000;1988793,00;0,33
473040;1989318,00;0,30
473080;1989422,00;0,27
473120;1988912,00;0,20
473160;1990640,00;0,13
473200;1990560,00;0,07
473240;1990140,00;0,13
473280;1989386,00;0,27
473320;1989344,00;0,37
473360;1989926,00;0,30
473400;1990575,00;0,23
473440;1988429,00;0,13
473480;1988837,00;0,00
473520;1988279,00;-0,07
473560;1988533,00;-0,03
473600;1988542,00;0,07
473640;1989608,00;0,00
473680;1989492,00;0,03
473720;1988708,00;0,03
473760;1989346,00;0,27
473800;1990125,00;0,37
473840;1989840,00;0,50
473880;1988960,00;0,53
473920;1988410,00;0,57
473960;1989194,00;0,53
474000;1990225,00;0,50
474040;1988658,00;0,47
474080;1989673,00;0,43
474120;1988002,00;0,47
474160;1988466,00;0,37
474200;1987819,00;0,33
474240;1988320,00;0,23
474280;1987623,00;0,17
474320;1988329,00;0,17
474360;1988078,00;0,13
474400;1986480,00;0,23
474440;1988617,00;0,10
474480;1986778,00;-0,03
474520;1987873,00;0,07
474560;1988337,00;0,23
474600;1988602,00;0,47
474640;1988153,00;0,40
474680;1988459,00;0,53
474720;1988876,00;0,60
474760;1988710,00;0,47
474800;1988197,00;0,33
474840;1989496,00;0,20
474880;1987591,00;0,13
474920;1989228,00;0,17
474960;1987647,00;0,20
475000;1987522,00;0,30
475040;1987649,00;0,27
475080;1986901,00;0,23
475120;1987486,00;0,37
475160;1986645,00;0,37
475200;1986453,00;0,30
475240;1986810,00;0,23
475280;1988172,00;0,13
475320;1985740,00;0,20
475360;1988176,00;0,13
475400;1988499,00;0,17
475440;1987458,00;0,10
475480;1988092,00;0,30
475520;1988246,00;0,50
475560;1988192,00;0,63
475600;1987972,00;0,57
475640;1987632,00;0,43
475680;1987251,00;0,37
475720;1987142,00;0,30
475760;1986419,00;0,37
475800;1985807,00;0,43
475840;1986986,00;0,53
475880;1986528,00;0,57
475920;1986039,00;0,60
475960;1985221,00;0,60
476000;1986268,00;0,50
476040;1984979,00;0,40
476080;1986099,00;0,40
476120;1987259,00;0,50
476160;1986135,00;0,50
476200;1987348,00;0,37
476240;1986778,00;0,20
476280;1986336,00;0,13
476320;1985836,00;0,07
476360;1987097,00;0,10
476400;1985747,00;0,13
476440;1985132,00;0,20
476480;1984482,00;0,20
476520;1985008,00;0,17
476560;1984636,00;0,30
476600;1984529,00;0,37
476640;1983856,00;0,47
476680;1984758,00;0,37
476720;1984315,00;0,33
476760;1984329,00;0,33
476800;1984229,00;0,27
476840;1984696,00;0,20
476880;1984334,00;0,10
476920;1984564,00;0,13
476960;1984330,00;0,17
477000;1984606,00;0,33
477040;1984836,00;0,47
477080;1983876,00;0,60
477120;1984862,00;0,57
477160;1983624,00;0,53
477200;1983197,00;0,47
477240;1982778,00;0,30
477280;1983709,00;0,20
477320;1982886,00;0,13
477360;1982564,00;0,23
477400;1982569,00;0,33
477440;1981792,00;0,43
477480;1982610,00;0,47
477520;1982507,00;0,40
477560;1982100,00;0,43
477600;1983616,00;0,50
477640;1981950,00;0,57
477680;1984011,00;0,53
477720;1983273,00;0,47
477760;1984330,00;0,50
477800;1984788,00;0,57
477840;1982374,00;0,67
477880;1982995,00;0,63
477920;1982731,00;0,57
477960;1982366,00;0,50
478000;1981187,00;0,47
478040;1982062,00;0,43
478080;1982945,00;0,43
478120;1982000,00;0,47
478160;1982080,00;0,43
478200;1980570,00;0,33
478240;1981895,00;0,23
478280;1980980,00;0,27
478320;1981576,00;0,20
478360;1981134,00;0,20
478400;1981085,00;0,07
478440;1981309,00;0,10
478480;1981672,00;0,07
478520;1981469,00;0,20
478560;1981988,00;0,30
478600;1981666,00;0,40
478640;1980432,00;0,27
478680;1981137,00;0,27
478720;1980160,00;0,27
478760;1979135,00;0,43
478800;1979475,00;0,47
478840;1977933,00;0,40
478880;1978152,00;0,33
478920;1977874,00;0,27
478960;1977001,00;0,27
479000;1978140,00;0,23
479040;1977134,00;0,20
479080;1976675,00;0,07
479120;1976764,00;0,17
479160;1976486,00;0,30
479200;1976938,00;0,57
479240;1977819,00;0,47
479280;1977277,00;0,27
479320;1977528,00;0,07
479360;1978107,00;0,17
479400;1977698,00;0,10
479440;1976706,00;0,13
479480;1977165,00;-0,10
479520;1976325,00;0,03
479560;1974934,00;0,10
479600;1975664,00;0,27
479640;1975003,00;0,23
479680;1974004,00;0,20
479720;1974515,00;0,10
479760;1974708,00;0,07
479800;1974485,00;0,00
479840;1974279,00;0,00
479880;1974848,00;0,00
479920;1975719,00;0,07
479960;1974784,00;0,13
480000;1974438,00;0,20
480040;1975154,00;0,13
480080;1974751,00;0,17
480120;1974639,00;0,20
480160;1975657,00;0,37
480200;1974614,00;0,30
480240;1973546,00;0,27
480280;1973145,00;0,17
480320;1973369,00;0,20
480360;1972787,00;0,27
480400;1971240,00;0,23
480440;1971576,00;0,20
480480;1971577,00;0,13
480520;1970741,00;0,30
480560;1972086,00;0,47
480600;1970947,00;0,60
480640;1971161,00;0,50
480680;1970825,00;0,50
480720;1971337,00;0,37
480760;1971429,00;0,20
480800;1970944,00;-0,07
480840;1971498,00;0,03
480880;1971008,00;0,37
480920;1971800,00;0,53
480960;1971092,00;0,77
481000;1970070,00;0,90
481040;1969804,00;2,10
481080;1969332,00;4,73
481120;1967899,00;8,93
481160;1967842,00;13,70
481200;1967300,00;16,73
481240;1966872,00;21,13
481280;1966764,00;24,07
481320;1966238,00;29,97
481360;1966714,00;34,07
481400;1966359,00;38,17
481440;1965673,00;41,63
481480;1966476,00;45,33
481520;1965800,00;49,03
481560;1965272,00;51,40
481600;1965969,00;53,37
481640;1966079,00;56,93
481680;1966093,00;60,83
481720;1964412,00;65,97
481760;1964604,00;69,50
481800;1963785,00;73,03
481840;1962643,00;75,30
481880;1962378,00;77,57
481920;1962195,00;80,70
481960;1962748,00;83,73
482000;1962120,00;87,83
482040;1961946,00;90,90
482080;1961049,00;93,13
482120;1961333,00;96,30
482160;1961644,00;98,30
482200;1963587,00;102,63
482240;1961864,00;106,30
482280;1962162,00;109,97
482320;1961507,00;113,63
482360;1961190,00;117,50
482400;1961975,00;122,50
482440;1961825,00;125,17
482480;1960156,00;129,27
482520;1959394,00;133,50
482560;1960184,00;138,83
482600;1958920,00;142,37
482640;1958206,00;146,10
482680;1957641,00;150,00
482720;1956786,00;154,10
482760;1958005,00;158,77
482800;1956426,00;163,27
482840;1956769,00;167,63
482880;1957333,00;171,23
482920;1955864,00;173,73
482960;1955334,00;177,57
483000;1957089,00;181,07
483040;1956763,00;184,57
483080;1956472,00;186,87
483120;1956389,00;189,63
483160;1956370,00;192,40
483200;1956787,00;195,50
483240;1956180,00;198,03
483280;1956696,00;200,57
483320;1957822,00;201,67
483360;1958168,00;201,93
483400;1957333,00;201,53
483440;1958584,00;200,87
483480;1957746,00;199,90
483520;1959224,00;199,33
483560;1960853,00;198,17
483600;1960180,00;197,17
483640;1959936,00;196,43
483680;1960230,00;196,07
483720;1961783,00;195,53
483760;1961960,00;195,00
483800;1962770,00;194,67
483840;1963047,00;194,47
483880;1963211,00;194,30
483920;1963986,00;194,27
483960;1964388,00;194,40
484000;1966309,00;195,37
484040;1966695,00;196,60
484080;1966347,00;198,43
484120;1966854,00;199,57
484160;1968280,00;200,60
484200;1968132,00;201,60
484240;1969099,00;202,43
484280;1970934,00;203,07
484320;1971162,00;203,23
484360;1971763,00;203,07
484400;1971783,00;202,70
484440;1971981,00;202,23
484480;1972442,00;201,93
484520;1973628,00;201,60
484560;1974690,00;201,27
484600;1975481,00;200,93
484640;1975648,00;200,73
484680;1976089,00;200,53
484720;1976475,00;200,37
484760;1977922,00;200,20
484800;1976676,00;200,03
484840;1978574,00;199,97
484880;1979767,00;199,70
484920;1979421,00;199,43
484960;1980190,00;199,07
485000;1981083,00;198,90
485040;1981571,00;198,73
485080;1982693,00;198,63
485120;1982448,00;198,43
485160;1982569,00;198,23
485200;1984900,00;197,97
485240;1985509,00;197,73
485280;1984860,00;197,50
485320;1985387,00;197,30
485360;1985698,00;197,07
485400;1985463,00;196,83
485440;1987123,00;196,77
485480;1987165,00;196,77
485520;1986884,00;196,83
485560;1988252,00;196,83
485600;1988704,00;196,90
485640;1989247,00;196,90
485680;1988955,00;196,70
485720;1990888,00;196,57
485760;1991014,00;196,57
485800;1990999,00;197,00
485840;1991387,00;197,57
485880;1992331,00;198,00
485920;1992423,00;199,13
485960;1992972,00;200,07
486000;1994360,00;201,87
486040;1993366,00;202,80
486080;1994075,00;203,60
486120;1995236,00;203,47
486160;1995311,00;203,20
486200;1994799,00;203,07
486240;1995620,00;202,90
486280;1996757,00;202,63
486320;1997062,00;202,37
486360;1997516,00;202,13
486400;1997308,00;202,07
486440;1997825,00;201,90
486480;1998596,00;201,80
486520;2000051,00;201,50
486560;1998032,00;201,30
486600;1999926,00;201,07
486640;1999999,00;201,07
486680;1999814,00;201,07
486720;1999837,00;201,00
486760;2001360,00;200,77
486800;2000840,00;200,53
486840;2002704,00;200,47
486880;2003395,00;200,40
486920;2002908,00;200,33
486960;2003302,00;200,00
487000;2003170,00;199,87
487040;2003039,00;199,73
487080;2004738,00;199,80
487120;2004008,00;199,60
487160;2004274,00;199,43
487200;2005123,00;199,23
487240;2006072,00;199,13
487280;2006048,00;199,00
487320;2006363,00;198,83
487360;2007633,00;198,60
487400;2006654,00;198,53
487440;2008354,00;198,50
487480;2006517,00;198,53
487520;2008098,00;198,33
487560;2008652,00;198,27
487600;2008373,00;198,33
487640;2009050,00;198,40
487680;2008482,00;198,37
487720;2009857,00;198,10
487760;2009640,00;198,00
487800;2010174,00;197,90
487840;2009440,00;198,03
487880;2010898,00;198,20
487920;2010291,00;198,37
487960;2010895,00;198,63
488000;2012725,00;198,83
488040;2011710,00;199,03
488080;2011480,00;199,10
488120;2012363,00;199,30
488160;2011981,00;199,87
488200;2012116,00;200,43
488240;2012044,00;201,03
488280;2013343,00;201,77
488320;2013313,00;202,50
488360;2012008,00;203,40
488400;2013724,00;204,13
488440;2013154,00;204,87
488480;2014356,00;205,03
488520;2015270,00;204,80
488560;2014333,00;204,67
488600;2014102,00;204,67
488640;2015207,00;204,73
488680;2014013,00;204,70
488720;2014988,00;204,40
488760;2015583,00;204,20
488800;2014903,00;203,80
488840;2015668,00;203,70
488880;2016568,00;203,40
488920;2016666,00;203,40
488960;2017273,00;203,43
489000;2016674,00;203,57
489040;2017663,00;203,53
489080;2017906,00;203,47
489120;2017331,00;203,13
489160;2018224,00;202,90
489200;2018327,00;202,80
489240;2018671,00;202,90
489280;2018182,00;202,93
489320;2018787,00;202,70
489360;2019835,00;202,57
489400;2019823,00;202,47
489440;2018888,00;202,47
